rank,title,year,rating,rating_count,genre,url
N/A,Gone in Sixty Seconds,N/A,6.5,305565,"A, c, t, i, o, n, ,,  , C, r, i, m, e, ,,  , T, h, r, i, l, l, e, r",https://www.imdb.com/title/tt0187078/
N/A,The Trust,N/A,5.5,21659,"A, c, t, i, o, n, ,,  , C, r, i, m, e, ,,  , D, r, a, m, a",https://www.imdb.com/title/tt3733774/
N/A,Arcadian,N/A,5.5,25766,"A, c, t, i, o, n, ,,  , D, r, a, m, a, ,,  , H, o, r, r, o, r",https://www.imdb.com/title/tt22939186/
N/A,The Sorcerer&apos;s Apprentice,N/A,6.1,174775,"A, c, t, i, o, n, ,,  , A, d, v, e, n, t, u, r, e, ,,  , F, a, m, i, l, y",https://www.imdb.com/title/tt0963966/
N/A,The Frozen Ground,N/A,6.4,71564,"B, i, o, g, r, a, p, h, y, ,,  , C, r, i, m, e, ,,  , D, r, a, m, a",https://www.imdb.com/title/tt2005374/
N/A,The Old Way,N/A,5.6,10672,"A, c, t, i, o, n, ,,  , D, r, a, m, a, ,,  , W, e, s, t, e, r, n",https://www.imdb.com/title/tt8593824/
N/A,Knowing,N/A,6.2,258526,"M, y, s, t, e, r, y, ,,  , S, c, i, -, F, i, ,,  , T, h, r, i, l, l, e, r",https://www.imdb.com/title/tt0448011/
N/A,Next,N/A,6.2,172528,"A, c, t, i, o, n, ,,  , S, c, i, -, F, i, ,,  , T, h, r, i, l, l, e, r",https://www.imdb.com/title/tt0435705/
N/A,Trapped in Paradise,N/A,5.9,17411,"A, d, v, e, n, t, u, r, e, ,,  , C, o, m, e, d, y, ,,  , C, r, i, m, e",https://www.imdb.com/title/tt0111477/
N/A,Captain Corelli&apos;s Mandolin,N/A,5.9,37032,"D, r, a, m, a, ,,  , M, u, s, i, c, ,,  , R, o, m, a, n, c, e",https://www.imdb.com/title/tt0238112/
N/A,Amos &amp; Andrew,N/A,5.7,10314,"C, o, m, e, d, y, ,,  , C, r, i, m, e",https://www.imdb.com/title/tt0106266/
N/A,Seeking Justice,N/A,6.1,48989,"A, c, t, i, o, n, ,,  , D, r, a, m, a, ,,  , M, y, s, t, e, r, y",https://www.imdb.com/title/tt1214962/
N/A,The Retirement Plan,N/A,5.1,10623,"A, c, t, i, o, n, ,,  , C, o, m, e, d, y, ,,  , C, r, i, m, e",https://www.imdb.com/title/tt14827638/
N/A,Dog Eat Dog,N/A,4.8,10242,"A, c, t, i, o, n, ,,  , C, r, i, m, e, ,,  , T, h, r, i, l, l, e, r",https://www.imdb.com/title/tt4054654/
N/A,8MM,N/A,6.6,149028,"C, r, i, m, e, ,,  , D, r, a, m, a, ,,  , M, y, s, t, e, r, y",https://www.imdb.com/title/tt0134273/
N/A,Prisoners of the Ghostland,N/A,4.2,15368,"F, a, n, t, a, s, y, ,,  , H, o, r, r, o, r, ,,  , T, h, r, i, l, l, e, r",https://www.imdb.com/title/tt6372694/
N/A,Drive Angry,N/A,5.4,105803,"A, c, t, i, o, n, ,,  , C, o, m, e, d, y, ,,  , F, a, n, t, a, s, y",https://www.imdb.com/title/tt1502404/
N/A,Inconceivable,N/A,5.2,11293,"D, r, a, m, a, ,,  , T, h, r, i, l, l, e, r",https://www.imdb.com/title/tt3481634/
N/A,Army of One,N/A,5.2,9549,"B, i, o, g, r, a, p, h, y, ,,  , C, o, m, e, d, y, ,,  , C, r, i, m, e",https://www.imdb.com/title/tt4382824/
N/A,The Boy in Blue,N/A,5.3,1517,"B, i, o, g, r, a, p, h, y, ,,  , D, r, a, m, a, ,,  , S, p, o, r, t",https://www.imdb.com/title/tt0090769/
N/A,Sonny,N/A,5.6,4766,"C, r, i, m, e, ,,  , D, r, a, m, a",https://www.imdb.com/title/tt0305973/
N/A,Ghost Rider,N/A,5.3,264351,"A, c, t, i, o, n, ,,  , F, a, n, t, a, s, y, ,,  , T, h, r, i, l, l, e, r",https://www.imdb.com/title/tt0259324/
N/A,Stolen,N/A,5.5,47293,"A, c, t, i, o, n, ,,  , C, r, i, m, e, ,,  , T, h, r, i, l, l, e, r",https://www.imdb.com/title/tt1656186/
N/A,Running with the Devil,N/A,5.4,11172,"C, r, i, m, e, ,,  , D, r, a, m, a, ,,  , T, h, r, i, l, l, e, r",https://www.imdb.com/title/tt5792656/
N/A,Tempo di uccidere,N/A,5.0,1101,"D, r, a, m, a, ,,  , W, a, r",https://www.imdb.com/title/tt0100762/
N/A,G-Force,N/A,5.1,52441,"A, n, i, m, a, t, i, o, n, ,,  , A, c, t, i, o, n, ,,  , A, d, v, e, n, t, u, r, e",https://www.imdb.com/title/tt0436339/
N/A,Kill Chain,N/A,5.0,6334,"A, c, t, i, o, n, ,,  , D, r, a, m, a, ,,  , T, h, r, i, l, l, e, r",https://www.imdb.com/title/tt8535180/
N/A,The Runner,N/A,4.7,6147,"D, r, a, m, a",https://www.imdb.com/title/tt3687398/
N/A,Vengeance: A Love Story,N/A,5.2,9661,"A, c, t, i, o, n, ,,  , A, d, v, e, n, t, u, r, e, ,,  , C, r, i, m, e",https://www.imdb.com/title/tt5460530/
N/A,Fire Birds,N/A,4.8,7718,"A, c, t, i, o, n, ,,  , A, d, v, e, n, t, u, r, e",https://www.imdb.com/title/tt0099575/
N/A,Zandalee,N/A,4.3,4452,"D, r, a, m, a, ,,  , R, o, m, a, n, c, e, ,,  , T, h, r, i, l, l, e, r",https://www.imdb.com/title/tt0101004/
N/A,Season of the Witch,N/A,5.4,101349,"A, c, t, i, o, n, ,,  , A, d, v, e, n, t, u, r, e, ,,  , F, a, n, t, a, s, y",https://www.imdb.com/title/tt0479997/
N/A,Grand Isle,N/A,4.7,6228,"C, r, i, m, e, ,,  , M, y, s, t, e, r, y, ,,  , T, h, r, i, l, l, e, r",https://www.imdb.com/title/tt8380776/
